product_id,category,release_date,lifecycle,current_stock,base_demand,current_price,base_price
iPhone15,Smartphones,2023-09-01,Decline,200,40,799,799
iPhone16,Smartphones,2024-09-15,Growth,500,60,999,999
GalaxyS24,Smartphones,2024-01-10,Maturity,300,55,799,799
GalaxyS25,Smartphones,2025-02-20,Growth,100,45,899,899
Pixel8,Smartphones,2023-10-01,Decline,150,35,699,699
Pixel9,Smartphones,2024-10-15,Growth,200,50,799,799
OnePlus12,Smartphones,2024-04-01,Maturity,180,40,699,699
OnePlus13,Smartphones,2025-03-01,Growth,80,60,799,799
Xiaomi14,Smartphones,2024-05-01,Maturity,220,35,599,599
Xiaomi15,Smartphones,2025-01-15,Growth,120,45,649,649
MotorolaRazr,Smartphones,2024-06-01,Maturity,90,25,999,999
SonyXperia,Smartphones,2024-08-01,Growth,70,20,1199,1199
MacBookAirM3,Laptops,2024-03-01,Growth,150,25,1099,1099
MacBookProM3,Laptops,2024-05-15,Maturity,100,20,1999,1999
DellXPS16,Laptops,2024-04-01,Maturity,80,18,1899,1899
HPEnvy360,Laptops,2024-02-01,Maturity,120,15,1499,1499
LenovoYoga,Laptops,2024-07-01,Growth,90,12,999,999
AsusZenbook,Laptops,2024-09-01,Growth,60,10,1299,1299
SurfacePro10,Laptops,2024-11-01,Growth,70,22,1299,1299
AcerSwift,Laptops,2024-12-01,Growth,50,25,899,899
iPadPro,Tablets,2024-03-15,Growth,100,18,1099,1099
iPadAir,Tablets,2024-06-01,Maturity,80,15,599,599
GalaxyTabS9,Tablets,2024-05-01,Growth,60,12,799,799
GalaxyTabS10,Tablets,2025-01-15,Growth,40,20,899,899
LenovoTab,Tablets,2024-08-01,Growth,30,7,299,299
AmazonFire,Tablets,2024-07-01,Growth,200,25,149,149
AirPodsPro3,Audio,2024-12-01,Growth,300,35,249,249
SonyWH1000XM6,Audio,2024-08-01,Growth,150,28,399,399
BoseQC45,Audio,2024-04-01,Maturity,100,18,329,329
JBLFlip7,Audio,2024-03-01,Maturity,80,12,129,129
SennheiserMomentum,Audio,2024-10-01,Growth,60,9,349,349
BeatsStudioPro,Audio,2024-09-01,Growth,70,15,349,349
JabraElite,Audio,2025-02-01,Growth,40,20,199,199
SoundcoreLiberty,Audio,2024-07-01,Growth,90,10,99,99
AppleWatch9,Wearables,2023-09-01,Decline,150,25,399,399
AppleWatch10,Wearables,2024-09-15,Growth,200,30,449,449
GalaxyWatch7,Wearables,2024-08-01,Growth,100,18,349,349
FitbitCharge7,Wearables,2024-07-01,Growth,80,12,159,159
GarminVenu3,Wearables,2024-06-01,Maturity,60,9,399,399
XiaomiBand8,Wearables,2024-05-01,Growth,120,15,99,99
MagSafeCharger,Accessories,2023-01-01,Decline,500,45,39,39
Samsung45W,Accessories,2023-03-01,Decline,300,30,49,49
LogitechMXKeys,Accessories,2023-05-01,Decline,200,45,109,109
AnkerPowerBank,Accessories,2024-02-01,Maturity,400,25,79,79
BelkinDock,Accessories,2024-04-01,Maturity,150,10,129,129
SpigenCase,Accessories,2024-01-01,Maturity,600,50,49,49
SanDisk1TB,Accessories,2024-03-01,Growth,250,20,129,129
PS5_Slim,Gaming,2024-11-01,Growth,300,70,499,499
XboxSeriesX,Gaming,2024-10-01,Growth,200,60,499,499
NintendoSwitch2,Gaming,2025-02-01,Growth,100,50,349,349
SteamDeck2,Gaming,2024-12-01,Growth,80,40,649,649
RazerBlade18,Gaming,2024-09-01,Growth,60,35,2499,2499
NestHub3,HomeTech,2024-04-01,Maturity,150,30,99,99
RoborockS8,HomeTech,2024-05-01,Growth,80,25,1099,1099
EchoShow15,HomeTech,2024-06-01,Maturity,120,40,249,249
RoombaJ9,HomeTech,2024-08-01,Growth,90,28,899,899
